keyword,priority,grupo_categoria,categoria,subcategoria,entity_name
INTUR ESPORT,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Intur
IYZICO,10,Gastos Fijos,Suscripciones,Streaming,Turgame
JACK & JONES,10,Gastos Variables,Compras,Ropa y Accesorios,Jack & Jones
JALEO,10,Gastos Variables,Ocio y Restauración,Ocio Nocturno,Jaleo
JAZZTEL,10,Gastos Fijos,Suministros,Internet y Teléfono,Jazztel
JEVOLE,10,Gastos Variables,Ocio y Restauración,Cafeterías,Jevole Coffee
JIJONENCOS,10,Gastos Variables,Ocio y Restauración,Heladerías y Horchaterías,Heladería
JULIETA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Julieta
JUPING WU,10,Gastos Variables,Compras,Bazares y Multiprecio,Juping Wu
JYSK,10,Gastos Variables,Compras,Hogar y Decoración,Jysk
KAFFELANDIA,10,Gastos Variables,Ocio y Restauración,Cafeterías,Kaffelandia
KAFIC,10,Gastos Variables,Ocio y Restauración,Cafeterías,Cafetería Kafic
KEBAB HOUSE,10,Gastos Variables,Ocio y Restauración,Fast Food,Kebab House
KEBAB TROYA,10,Gastos Variables,Ocio y Restauración,Fast Food,Kebab Troya
KIOSKO LUCIA,10,Gastos Variables,Compras,Bazares y Multiprecio,Kiosko Lucia
KIWOKO,10,Gastos Variables,Mascotas,Alimentación y Accesorios,Kiwoko
LA BELEPOC,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,La Belepoc
LA BICICLETA CAFE,10,Gastos Variables,Ocio y Restauración,Cafeterías,La Bicicleta Cafe
LA DAMA BLANCA,10,Gastos Variables,Ocio y Restauración,Cafeterías,La Dama Blanca
LA DOLCE VITA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,La Dolce Vita
LA GOLETA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,La Goleta
LA JIJONENCA,10,Gastos Variables,Ocio y Restauración,Heladerías y Horchaterías,La Jijonenca
LA MOVIDA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,La Movida
LA REDONA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,La Redona
LA SELECTA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,La Selecta
LA TERRACITA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,La Terracita
LA TOSTADORA,10,Gastos Variables,Ocio y Restauración,Cafeterías,La Tostadora
LACOLADACS,10,Gastos Variables,Servicios Hogar,Lavandería y Tintorería,La Colada CS
LE BLANC PELUQUERIA,10,Gastos Variables,Salud y Cuidado,Cuidado Personal,Le Blanc Peluquería
LE PETIT CAFE,10,Gastos Variables,Ocio y Restauración,Cafeterías,Le Petit Cafe
LEBLANC,10,Gastos Variables,Salud y Cuidado,Cuidado Personal,Le Blanc Peluquería
LEKUE,10,Gastos Variables,Compras,Menaje y Cocina,Lekué
LEROY MERLIN,10,Gastos Variables,Compras,Hogar y Decoración,Leroy Merlin
LIDL,10,Gastos Fijos,Alimentación,Supermercado,Lidl
LIQ PROVISION,10,CAPEX,Trámites y Escrituras,Devolución Provisión,Bankinter
LIQ. PROPIA CTA,10,Ingresos,Ingresos Pasivos,Intereses,Bankinter
LOKIMICA,10,Gastos Fijos,Servicios Hogar,Mantenimiento y Reparaciones,Lokimica
LORCA 41,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Lorca 41
LUCKIA,10,Gastos Variables,Ocio y Restauración,Apuesta y Juego,Luckia
LYONBURGO,10,Gastos Variables,Ocio y Restauración,Fast Food,Lyonburgo
MACIAN,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Macián
MAÑEKO COOP,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Mañeko Coop Mallabia
MAPFRE,10,Gastos Fijos,Seguros,Vida/Hogar,Mapfre Seguros
MARE GASTROBAR,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Mare Gastrobar
MARI TOÑI,10,Gastos Variables,Ocio y Restauración,Cafeterías,Cafetería Mari Toñi
MARKET CASTELLO,10,Gastos Fijos,Alimentación,Supermercado,Carrefour
MARTINI E PICCOL,10,Gastos Variables,Viajes,Alojamiento,Hotel Martini e Piccolo
MAS Y MAS,10,Gastos Fijos,Alimentación,Supermercado,Mas y Mas
PANADERIA MATEU,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Els Ibarsos
MAXICOFFEE,10,Gastos Variables,Compras,Menaje y Cocina,MaxiCoffee
MEDIA MARKT,10,Gastos Variables,Compras,Tecnología y Electrónica,Media Markt
MERCADONA,10,Gastos Fijos,Alimentación,Supermercado,Mercadona
MESON DEL QUIJOTE,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Mesón del Quijote
METRO BILBAO,10,Gastos Variables,Transporte,Transporte Público,Metro
MI.COM,10,Gastos Variables,Compras,Tecnología y Electrónica,XiaoMi
MIRAVETE,10,Gastos Variables,Ocio y Restauración,Cafeterías,Miravete
MIRAVIA,10,Gastos Variables,Compras,Marketplace,Miravia
MISTER BARAKA,10,Gastos Variables,Compras,Bazares y Multiprecio,Mister Baraka
PANADERIA MONICA,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Panadería Mónica
